,0
0,364.9700652630453
1,339.99780833810945
2,331.9609246755235
3,342.146508145612
4,331.3899724660236
5,325.8625834284181
6,347.47927312559506
7,337.9276476333433
8,322.9636506161489
9,328.2747228947943
10,272.10295987888946
11,262.4837342648087
12,299.54529524765786
13,289.55365447359196
14,278.14591993695166
15,299.64262900388684
16,378.8844900981448
17,405.5403761226168
18,400.245756226083
19,402.74413241872827
20,428.8386410760403
21,442.04675185965635
22,449.4029333757342
23,460.06755105923594
24,466.2759207045266
25,481.5699072277121
26,468.5153906659058
27,464.27225915637615
28,461.47045399064876
29,462.92022743709526
30,476.315007109062
31,483.0065556226321
32,470.92106655774984
33,473.91255271739305
34,475.87541017932034
35,477.208102030595
36,468.3287121332482
37,479.88334156748215
38,459.48490097084516
39,474.0686475502623
40,476.88272291630886
41,457.7481862990464
42,468.99251754388393
43,477.9069994421279
44,484.48973688451065
45,480.98410637058777
46,441.15445260165467
47,482.2717545581086
48,472.41640072714017
49,455.8751073403698
50,458.01558195109465
51,461.8859550620513
52,465.96802025922733
53,462.0652783713818
54,461.3327301943055
55,465.3413204798026
56,458.83109550877293
57,460.67309105672575
58,466.74998635970604
59,456.0402684070499
60,447.0190967627567
61,478.6735322202722
62,445.78434277234095
63,439.8988279850339
64,443.2110739761963
65,465.19512763554275
66,455.26362019607353
67,442.60154788996203
68,462.4863067318304
69,447.41517658999635
70,452.17722911046525
71,472.3722892124806
72,445.4411427703578
73,467.1003920440698
74,464.9707058369045
75,452.9854214773371
76,477.5841727721635
77,445.8745245833051
78,446.48102113070115
79,454.34224808417247
80,456.18271016379765
81,461.09922048814474
82,479.9296838124635
83,452.0647668434946
84,452.83488819106736
85,454.1995699561303
86,460.2846474057073
87,452.608741670122
88,465.80428259004105
89,468.1006673417834
90,446.08411702427804
91,470.98046392476937
92,466.5482700134557
93,464.0536243150708
94,438.72817094489125
95,470.691554976512
96,457.2116350440414
97,452.56438324698667
98,442.51156023960374
99,459.58170163808177
100,441.3749157911527
101,464.5286875727811
102,442.23690795135894
103,454.8348496636364
104,436.61520646219844
105,455.9133961037422
106,455.43536986810943
107,454.81801525780185
108,449.9073082797332
109,454.91707995525474
110,453.16068910456494
111,442.24900141904067
112,464.22335972429164
113,455.48274008510543
114,477.12644652630013
115,445.88797322571247
116,455.9527583771682
117,467.3415577987809
118,460.3393273904282
119,469.55798935878147
120,464.14217114342466
121,460.43932671738304
122,465.94751797141447
123,444.85973632866205
124,488.31537682939955
125,475.4311481821563
126,465.79667734410896
127,463.0572261907363
128,475.77969548557934
129,480.96276343878145
130,464.09119051713697
131,462.0132202812347
132,476.9020179125979
133,477.0486134477769
134,482.8251012390158
135,449.2913747391497
136,474.9183263259423
137,465.28313811239633
138,468.19282570188443
139,459.91565604146695
140,485.55943178930323
141,471.5857761858596
142,458.32089949383095
143,449.3087143799891
144,451.21533839874814
145,472.50642842613394
146,473.8357786785029
147,453.31618981183004
148,494.5998450445739
149,464.38598442277566
150,435.0960372801527
151,467.5754221961734
152,474.11223026854407
153,437.7382379196833
154,475.61900200337044
155,446.2157472436087
156,475.2465835182191
157,452.03677778370326
158,468.07359133168285
159,468.63444864880347
160,446.78953034894664
161,456.0966487941977
162,454.1550806792258
163,485.3483670595366
164,454.3849634218447
165,465.8526661435566
166,451.0732839353071
167,466.6136155408701
168,443.2310402717903
169,459.56267201243793
170,467.7574765784995
171,490.08763132428396
172,447.855761820253
173,481.22517214730607
174,473.32601510001706
175,472.9144134463195
176,461.26172317625526
177,459.9553236011883
178,446.0099333639952
179,478.64632269677156
180,458.75021190501064
181,457.4711671660602
182,461.70621588386564
183,480.155706281419
184,473.06674377786004
185,479.10055635040425
186,472.32124744559246
187,470.5633571424819
188,452.40599664941476
189,477.44458725857254
190,464.5644215574234
191,486.46060201329215
192,476.98347584436794
193,462.2818473759404
194,453.27506599436845
195,493.1848245598743
196,451.4916463451602
197,461.8124290869795
198,469.853860277474
199,442.2062815512223
200,469.33619783974893
201,477.31779982394215
202,463.6946489551738
203,456.0823467349119
204,489.6940026267496
205,479.09069199875296
206,467.0176403042953
207,487.531369863583
208,451.1108214356985
209,462.93514763219315
210,462.2500144043807
211,488.8841207698877
212,476.5906176941245
213,465.63719769143717
214,484.28496531107703
215,457.1677839429347
216,477.94885853181745
217,474.17048759173593
218,477.70065935188944
219,482.3839454082819
220,462.81969702012975
221,461.36616448516105
222,466.2273952657453
223,457.014418076539
224,478.15629596522916
225,451.1443906829785
226,467.4864594242805
227,480.749270298762
228,462.17090457590143
229,464.88963348402194
230,460.88667475775287
231,465.32414113726463
232,476.2929581579756
233,494.30613725594174
234,458.12114838476566
235,463.17234499941117
236,494.2976467597573
237,463.452705800851
238,468.56750766495946
239,477.67968986594025
240,473.6441061590898
241,460.86246066375963
242,475.41495452102976
243,473.5870540332454
244,447.4183569750803
245,443.2026687050429
246,460.30487097204605
247,469.0789557231879
248,456.75658340670645
249,480.6109604402636
250,451.56056099268426
251,465.2522841604276
252,488.1294637543412
253,467.9292747877061
254,485.1938035172807
255,491.99405435301514
256,466.55238950195303
257,460.96232124312195
258,475.85215178138697
259,461.0994904272405
260,464.48308437320077
261,468.41126503246414
262,470.57013970702934
263,482.0833695554157
264,462.3516985119847
265,463.4357628420727
266,472.2651297291488
267,475.48786475886635
268,475.69216351946164
269,472.75327642765495
270,484.8350843160718
271,448.2617252369502
272,470.84990270900965
273,461.4132033527096
274,466.0133017468829
275,484.49070758507105
276,473.37167443080574
277,487.8848638068619
278,481.03909676259855
279,473.22768554338967
280,452.3766252687651
281,482.67105052891935
282,468.75085071363895
283,473.3078919023368
284,484.4766447677395
285,459.8633525118551
286,480.6487013563759
287,481.89282124634457
288,459.3307276290149
289,492.1970575021847
290,475.7405259925384
291,471.62536511139916
292,463.4702377109766
293,456.40535430914235
294,469.23731745718516
295,475.069000957736
296,469.5577174362457
297,468.0988174359826
298,461.25192372610496
299,468.0324710501566
300,483.0258612240105
301,485.8083012429046
302,478.62795314621627
303,461.81162150600835
304,468.05162346828365
305,462.48216710437384
306,480.42672489785144
307,467.4955118988998
308,471.47920863259156
309,447.72463707570455
310,488.6243854862718
311,465.6479522660426
312,454.5996545547976
313,463.44485460472066
314,464.1654493472116
315,481.9606477723303
316,477.20460120015997
317,473.63800451310044
318,482.7801301045509
319,487.83232101019536
320,463.57690275057496
321,497.6808196843209
322,464.05525147563964
323,474.4647192885623
324,485.47309710100984
325,477.36499270364516
326,455.43587841842856
327,486.1247804245875
328,455.7370328854949
329,477.42427974717964
330,450.2762359518202
331,464.4735795114466
332,485.3281044775448
333,477.6603554376333
334,459.19993569238153
335,463.6377738876725
336,481.20553278586385
337,490.2219616929488
338,450.98450602168964
339,481.8945505544126
340,480.0234480121945
341,467.1855246512135
342,484.33466638280186
343,479.63361360678095
344,482.0853431253174
345,475.31916106878174
346,483.1933646443929
347,456.4704533903144
348,469.6699467147508
349,458.7696256061928
350,470.1155723052226
351,483.48009299201755
352,465.09837313372657
353,466.42445569312605
354,446.1204306385949
355,485.3132928372982
356,495.8754736423568
357,465.66694900179897
358,488.6683664734292
359,465.1298434758776
360,451.27469991962425
361,477.0681725942491
362,479.39741461435705
363,475.8513363261078
364,469.80420667601817
365,464.608758832453
366,487.45462555664716
367,493.9084182000737
368,480.89799350764235
369,475.2925095414365
370,477.0664915169826
371,444.66453790006034
372,480.16454437994315
373,477.0577479349471
374,485.94720318020154
375,482.0215397077675
376,477.5574363425317
377,481.6845949923815
378,452.02628449284305
379,489.13729372617576
