,0
0,150.6
1,149.4
2,145.6
3,148.20000000000002
4,156.60000000000002
5,152.20000000000002
6,152.6
7,146.6
8,152.20000000000002
9,154.20000000000002
10,167.4
11,166.60000000000002
12,154.4
13,153.0
14,162.20000000000002
15,150.6
16,121.4
17,117.80000000000001
18,118.19999999999999
19,114.80000000000001
20,104.80000000000001
21,107.4
22,104.80000000000001
23,101.80000000000001
24,103.2
25,101.80000000000001
26,102.2
27,102.4
28,102.2
29,100.2
30,101.4
31,101.4
32,101.2
33,100.60000000000001
34,100.4
35,100.4
36,102.4
37,100.60000000000001
38,101.80000000000001
39,100.0
40,101.80000000000001
41,102.2
42,101.60000000000001
43,100.60000000000001
44,100.80000000000001
45,103.4
46,102.60000000000001
47,103.0
48,102.4
49,102.60000000000001
50,104.60000000000001
51,103.0
52,100.80000000000001
53,103.60000000000001
54,102.0
55,104.2
56,102.80000000000001
57,102.4
58,104.80000000000001
59,103.80000000000001
60,107.80000000000001
61,104.4
62,106.60000000000001
63,103.80000000000001
64,104.80000000000001
65,106.60000000000001
66,107.0
67,104.80000000000001
68,104.2
69,103.4
70,103.60000000000001
71,107.2
72,104.60000000000001
73,109.0
74,105.80000000000001
75,106.4
76,107.60000000000001
77,109.0
78,106.2
79,107.60000000000001
80,102.60000000000001
81,105.4
82,106.60000000000001
83,106.60000000000001
84,104.0
85,110.60000000000002
86,106.60000000000001
87,109.60000000000001
88,104.4
89,110.4
90,103.2
91,104.60000000000001
92,107.4
93,107.80000000000001
94,105.4
95,109.4
96,102.60000000000001
97,109.0
98,107.4
99,106.4
100,106.60000000000001
101,110.20000000000002
102,108.4
103,109.0
104,110.80000000000001
105,109.60000000000001
106,107.60000000000001
107,107.0
108,112.60000000000001
109,120.2
110,111.99999999999999
111,108.80000000000001
112,117.6
113,118.4
114,116.2
115,105.2
116,115.0
117,117.4
118,110.60000000000002
119,114.80000000000001
120,109.0
121,108.80000000000001
122,103.60000000000001
123,117.80000000000001
124,114.4
125,106.0
126,112.2
127,109.60000000000001
128,107.60000000000001
129,113.80000000000001
130,104.0
131,113.4
132,110.0
133,109.2
134,106.80000000000001
135,107.2
136,108.80000000000001
137,108.0
138,108.2
139,106.4
140,114.20000000000002
141,107.4
142,108.80000000000001
143,108.2
144,107.0
145,110.4
146,114.20000000000002
147,109.4
148,110.60000000000002
149,119.99999999999999
150,111.99999999999999
151,119.8
152,107.80000000000001
153,115.60000000000001
154,108.0
155,108.2
156,114.80000000000001
157,112.40000000000002
158,112.80000000000001
159,112.40000000000002
160,109.4
161,109.80000000000001
162,105.80000000000001
163,112.60000000000001
164,108.2
165,107.0
166,108.80000000000001
167,107.2
168,108.4
169,103.4
170,115.0
171,109.2
172,108.2
173,109.2
174,106.2
175,108.0
176,106.60000000000001
177,111.8
178,112.2
179,106.80000000000001
180,110.0
181,108.80000000000001
182,110.80000000000001
183,108.0
184,106.0
185,117.00000000000001
186,109.2
187,113.4
188,110.20000000000002
189,115.0
190,108.80000000000001
191,111.39999999999999
192,106.60000000000001
193,112.40000000000002
194,117.2
195,107.2
196,109.60000000000001
197,113.6
198,118.19999999999999
199,107.60000000000001
200,112.80000000000001
201,110.60000000000002
202,112.80000000000001
203,114.4
204,112.40000000000002
205,111.2
206,109.0
207,116.60000000000001
208,110.0
209,113.80000000000001
210,117.4
211,108.80000000000001
212,107.4
213,113.6
214,109.0
215,110.60000000000002
216,111.39999999999999
217,113.6
218,123.99999999999999
219,108.2
220,113.80000000000001
221,113.80000000000001
222,109.4
223,116.40000000000002
224,115.8
225,115.99999999999999
226,113.80000000000001
227,110.4
228,114.4
229,118.80000000000001
230,110.4
231,107.80000000000001
232,116.80000000000003
233,112.2
234,111.2
235,109.4
236,118.80000000000001
237,112.2
238,119.20000000000002
239,113.80000000000001
240,120.2
241,117.6
242,114.4
243,113.6
244,115.99999999999999
245,120.60000000000001
246,117.00000000000001
247,115.2
248,108.80000000000001
249,110.20000000000002
250,116.40000000000002
251,108.80000000000001
252,118.4
253,116.40000000000002
254,113.2
255,110.60000000000002
256,115.39999999999999
257,107.4
258,114.0
259,119.4
260,113.4
261,110.60000000000002
262,113.6
263,118.60000000000002
264,121.00000000000001
265,115.0
266,114.0
267,117.4
268,111.99999999999999
269,120.80000000000003
270,114.4
271,126.19999999999999
272,112.60000000000001
273,117.2
274,110.60000000000002
275,111.99999999999999
276,108.80000000000001
277,120.2
278,113.6
279,122.60000000000002
280,115.39999999999999
281,117.4
282,117.80000000000001
283,114.0
284,113.6
285,111.60000000000001
286,124.39999999999999
287,111.60000000000001
288,125.00000000000001
289,116.40000000000002
290,127.0
291,125.2
292,106.60000000000001
293,119.99999999999999
294,117.6
295,118.0
296,111.0
297,117.2
298,117.00000000000001
299,118.19999999999999
300,115.0
301,114.4
302,111.2
303,119.4
304,114.20000000000002
305,111.0
306,114.4
307,112.80000000000001
308,120.80000000000003
309,125.2
310,117.2
311,111.60000000000001
312,111.60000000000001
313,114.0
314,120.80000000000003
315,117.00000000000001
316,110.60000000000002
317,118.19999999999999
318,108.80000000000001
319,108.80000000000001
320,122.60000000000002
321,112.40000000000002
322,109.4
323,111.99999999999999
324,118.60000000000002
325,107.0
326,119.60000000000001
327,113.6
328,126.19999999999999
329,112.60000000000001
330,121.4
331,119.99999999999999
332,111.60000000000001
333,110.20000000000002
334,110.60000000000002
335,133.20000000000002
336,116.40000000000002
337,117.4
338,117.00000000000001
339,120.39999999999999
340,108.4
341,120.39999999999999
342,110.20000000000002
343,110.80000000000001
344,118.0
345,116.80000000000003
346,123.60000000000001
347,122.19999999999999
348,116.80000000000003
349,118.80000000000001
350,119.20000000000002
351,123.60000000000001
352,117.80000000000001
353,117.4
354,111.2
355,106.60000000000001
356,115.2
357,114.0
358,111.0
359,119.0
360,108.0
361,114.4
362,107.4
363,114.0
364,112.2
365,117.00000000000001
366,108.80000000000001
367,109.2
368,110.80000000000001
369,114.20000000000002
370,108.60000000000001
371,109.60000000000001
372,109.0
373,121.4
374,105.4
375,114.60000000000002
376,109.60000000000001
377,110.80000000000001
378,114.20000000000002
379,115.0
380,110.4
381,109.60000000000001
382,108.60000000000001
383,114.4
384,106.0
385,122.80000000000001
386,106.80000000000001
387,119.4
388,118.4
389,113.6
390,113.4
391,112.80000000000001
392,118.4
393,113.0
394,109.60000000000001
395,109.2
396,111.39999999999999
397,107.80000000000001
398,111.8
399,109.80000000000001
400,114.20000000000002
401,111.2
402,109.80000000000001
403,111.60000000000001
404,122.80000000000001
405,115.99999999999999
406,115.8
407,110.80000000000001
408,111.8
409,108.60000000000001
410,114.0
411,120.60000000000001
412,113.0
413,115.8
414,114.4
415,119.8
416,107.0
417,110.20000000000002
418,119.60000000000001
419,110.4
420,119.0
421,109.2
422,116.60000000000001
423,107.4
424,115.99999999999999
425,116.80000000000003
426,109.60000000000001
427,115.8
428,121.2
429,114.60000000000002
430,119.8
431,118.60000000000002
432,113.0
433,104.2
434,115.39999999999999
435,119.99999999999999
436,107.60000000000001
437,109.60000000000001
438,124.39999999999999
439,115.39999999999999
440,110.20000000000002
441,116.2
442,110.0
443,113.6
444,127.20000000000002
445,115.2
446,117.6
447,113.80000000000001
448,117.80000000000001
449,115.99999999999999
450,115.39999999999999
451,111.39999999999999
452,108.4
453,108.60000000000001
454,115.8
455,109.4
456,113.2
457,110.80000000000001
458,113.4
459,106.2
460,108.60000000000001
461,112.60000000000001
462,116.40000000000002
463,119.20000000000002
464,111.99999999999999
465,110.4
466,118.0
467,122.19999999999999
468,118.0
469,111.0
470,119.4
471,123.4
472,111.60000000000001
473,113.80000000000001
474,111.2
475,121.6
476,117.6
477,112.80000000000001
478,119.4
479,113.80000000000001
480,113.80000000000001
481,109.60000000000001
482,115.60000000000001
483,112.40000000000002
484,123.0
485,113.0
486,121.4
487,118.0
488,111.99999999999999
489,114.0
490,118.0
491,114.20000000000002
492,112.40000000000002
493,114.0
494,114.20000000000002
495,111.2
496,119.0
497,115.99999999999999
498,117.2
499,123.4
500,117.6
501,116.80000000000003
502,111.2
503,115.60000000000001
504,116.60000000000001
505,106.0
506,124.60000000000001
507,113.0
508,120.60000000000001
509,107.80000000000001
510,108.0
511,115.99999999999999
512,108.4
513,120.80000000000003
514,110.20000000000002
515,112.60000000000001
516,118.19999999999999
517,109.2
518,113.6
519,119.0
520,114.4
521,117.00000000000001
522,118.19999999999999
523,129.6
524,108.80000000000001
525,112.40000000000002
526,110.0
527,111.8
528,117.2
529,115.8
530,111.99999999999999
531,123.99999999999999
532,120.2
533,118.19999999999999
534,109.4
535,112.40000000000002
536,110.0
537,118.60000000000002
538,123.99999999999999
539,119.0
540,114.20000000000002
541,117.80000000000001
542,125.40000000000002
543,119.0
544,113.4
545,114.0
546,106.60000000000001
547,117.6
548,120.80000000000003
549,122.60000000000002
550,119.60000000000001
551,117.80000000000001
552,113.4
553,118.80000000000001
554,113.2
555,121.4
556,118.4
557,117.00000000000001
558,122.0
559,116.40000000000002
560,121.00000000000001
561,110.80000000000001
562,114.20000000000002
563,117.4
564,112.80000000000001
565,118.4
566,109.60000000000001
567,118.19999999999999
568,114.60000000000002
569,109.4
570,122.80000000000001
571,108.0
572,108.2
573,112.40000000000002
574,113.6
575,114.80000000000001
576,113.2
577,116.40000000000002
578,116.40000000000002
579,113.2
580,111.2
581,115.2
582,122.0
583,112.60000000000001
584,115.8
585,121.00000000000001
586,109.2
587,118.19999999999999
588,116.2
589,114.0
590,112.80000000000001
591,114.0
592,114.20000000000002
593,110.60000000000002
594,106.60000000000001
595,114.60000000000002
596,108.4
597,120.60000000000001
598,111.60000000000001
599,110.0
600,108.2
601,113.80000000000001
602,111.60000000000001
603,110.20000000000002
604,115.39999999999999
605,116.2
606,115.0
607,119.8
608,119.0
609,123.4
610,111.8
611,118.80000000000001
612,126.4
613,109.60000000000001
614,109.2
615,118.0
616,118.60000000000002
617,117.4
618,116.40000000000002
619,122.0
620,112.80000000000001
621,111.2
622,116.40000000000002
623,110.0
624,113.4
625,113.4
626,118.0
627,117.4
628,106.0
629,112.80000000000001
630,111.0
631,112.80000000000001
632,121.00000000000001
633,124.39999999999999
634,117.00000000000001
635,108.60000000000001
636,115.0
637,107.80000000000001
638,115.99999999999999
639,110.80000000000001
640,115.2
641,119.8
642,114.4
643,111.39999999999999
644,112.40000000000002
645,108.60000000000001
646,110.0
647,119.99999999999999
648,110.60000000000002
649,113.2
650,110.4
651,107.0
652,115.8
653,115.2
654,117.6
655,113.4
656,115.60000000000001
